1;8.4;['Drama']
2;8.0;['Science Fiction', 'Mystery', 'Adventure']
3;7.9;['Drama', 'Comedy', 'Romance']
4;7.8;['Drama', 'Romance']
5;8.2;['Science Fiction', 'Drama']
6;7.8;['Drama']
7;8.0;['Horror', 'Science Fiction']
8;8.2;['Drama']
9;7.7;['Drama', 'War']
10;8.0;['Drama', 'History', 'Music']
11;8.0;['Drama']
12;8.3;['Drama']
13;7.7;['Drama', 'Thriller']
14;7.9;['Crime', 'Drama', 'Mystery', 'Thriller']
15;7.8;['Comedy', 'Drama', 'Romance']
16;8.2;['Drama', 'War']
17;7.6;['Comedy', 'Crime']
18;8.2;['Adventure', 'Comedy', 'Science Fiction', 'Family']
19;7.9;['Drama', 'Romance', 'War']
20;7.6;['Action', 'Crime', 'Drama']
21;7.7;['Romance', 'Family', 'Animation', 'Fantasy', 'Music']
22;7.8;['Drama', 'Romance']
23;7.7;['Adventure', 'History']
24;7.5;['Drama', 'Thriller']
25;7.9;['Science Fiction', 'Drama', 'Thriller']
26;7.8;['Action', 'Drama', 'History', 'War']
27;7.6;['Crime', 'Drama', 'History', 'Western', 'Comedy']
28;8.1;['Drama', 'Romance']
29;7.9;['Crime', 'Drama']
30;7.9;['Crime', 'Drama', 'Mystery', 'Thriller']
31;8.3;['Drama', 'Crime']
32;8.1;['Mystery', 'Drama']
33;8.4;['Comedy', 'Drama', 'Romance']
34;7.8;['Crime', 'Drama']
35;7.6;['Action', 'Thriller']
36;7.3;['Science Fiction']
37;8.0;['Drama', 'Western']
38;7.8;['Crime', 'Drama', 'Thriller']
39;7.8;['Fantasy', 'Drama', 'Mystery']
40;8.2;['Crime', 'Drama', 'Mystery', 'Thriller']
41;8.1;['Drama', 'Comedy', 'War']
42;7.7;['Fantasy', 'Drama', 'War']
43;8.1;['Science Fiction', 'Drama', 'Romance']
44;7.7;['Fantasy', 'Drama', 'Mystery']
45;7.8;['Crime', 'Drama', 'Thriller']
46;7.8;['Drama']
47;8.4;['Drama']
48;7.8;['Animation', 'Family']
49;8.4;['Comedy', 'Drama', 'Romance']
50;8.1;['Drama', 'War']
51;7.5;['Drama', 'History']
52;8.1;['Action', 'Drama', 'Adventure']
53;7.9;['Drama', 'Romance', 'War']
54;8.0;['Drama']
55;8.4;['Drama', 'Crime']
56;7.9;['Drama']
57;7.5;['Romance', 'Fantasy', 'Drama', 'Comedy']
58;8.1;['Family', 'Fantasy', 'Adventure']
59;7.8;['Comedy', 'Drama', 'Fantasy']
60;7.8;['Action', 'Crime', 'Drama', 'Thriller']
61;7.7;['Western']
62;7.7;['Drama', 'History', 'War']
63;7.7;['Fantasy', 'Adventure', 'Animation', 'Family']
64;8.3;['Western']
65;7.8;['Drama']
66;8.0;['Drama', 'War', 'Mystery']
67;8.2;['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']
68;7.7;['Adventure', 'Action']
69;7.8;['Drama', 'Action', 'Thriller', 'Crime', 'Mystery']
70;8.1;['Drama', 'Action', 'Thriller', 'War']
71;7.8;['Adventure', 'Drama']
72;8.2;['Drama', 'Comedy']
73;7.8;['Comedy', 'Romance']
74;8.2;['Drama', 'Family', 'Fantasy']
75;8.0;['Drama']
76;7.6;['Horror', 'Thriller', 'Adventure']
77;7.8;['Adventure', 'Science Fiction']
78;7.8;['Adventure', 'Animation', 'Fantasy']
79;7.9;['Action', 'Crime']
80;7.8;['Crime', 'Drama', 'Mystery', 'Thriller']
81;8.0;['Adventure', 'Drama', 'History', 'War']
82;7.3;['Adventure', 'Drama', 'Action']
83;7.9;['Comedy', 'Crime']
84;8.1;['Drama', 'Action', 'Thriller', 'Crime']
85;7.8;['Animation', 'Comedy', 'Drama']
86;8.2;['Mystery', 'Thriller']
87;8.2;['Drama', 'Science Fiction']
88;7.9;['Drama']
89;8.3;['Drama', 'Comedy']
90;8.3;['Adventure', 'Fantasy', 'Animation']
91;7.7;['Animation', 'Comedy', 'Family']
92;7.8;['Adventure', 'Comedy', 'Fantasy']
93;7.8;['Comedy']
94;8.0;['Comedy', 'Drama']
95;7.7;['Thriller', 'Crime', 'Drama', 'Mystery']
96;8.0;['Drama']
97;7.9;['Crime', 'Drama', 'Thriller']
98;7.9;['Mystery', 'Thriller']
99;7.8;['Thriller', 'Drama', 'Romance']
100;8.4;['Drama', 'Romance']
101;8.1;['Crime', 'Drama']
102;8.4;['Drama', 'Crime']
103;8.4;['Drama']
104;8.0;['Crime', 'Drama']
105;8.3;['Drama', 'War']
106;7.8;['Western']
107;8.3;['Drama']
108;7.6;['Adventure', 'Fantasy', 'Action']
109;7.7;['Drama', 'War', 'Action']
110;8.4;['Drama', 'Horror', 'Thriller', 'Mystery']
111;8.4;['Thriller', 'Crime']
112;7.9;['Drama']
113;7.8;['Adventure', 'Action']
114;7.7;['Drama']
115;8.1;['Action', 'Drama', 'History']
116;7.6;['Animation', 'Comedy', 'Family', 'Fantasy']
117;8.3;['Drama', 'Mystery', 'Thriller']
118;7.9;['Drama', 'Mystery']
119;8.0;['Crime', 'Drama']
120;8.1;['Crime', 'Thriller']
121;7.7;['Drama']
122;7.9;['Comedy', 'Romance', 'Drama']
123;8.0;['Crime', 'Drama', 'Thriller']
124;7.7;['Horror', 'Drama', 'Mystery']
125;8.0;['Drama', 'History', 'War']
126;8.1;['Action', 'Crime', 'Drama', 'Thriller']
127;8.5;['Drama', 'History', 'War']
128;8.3;['Crime', 'Mystery', 'Thriller']
129;8.0;['Drama', 'Thriller', 'Mystery']
130;7.4;['Action', 'Thriller', 'Crime']
131;8.1;['Comedy', 'Music', 'Romance']
132;7.8;['Mystery', 'Thriller', 'Crime']
133;7.7;['Drama', 'Romance']
134;7.8;['Thriller', 'Crime']
135;8.2;['Comedy', 'Romance']
136;7.9;['Crime', 'Drama']
137;7.4;['Science Fiction', 'Action', 'Adventure']
138;8.0;['Adventure', 'Action', 'Science Fiction']
139;7.8;['Crime', 'Drama', 'Thriller']
140;8.4;['Drama']
141;8.0;['Drama']
142;8.1;['Crime', 'Drama']
143;7.9;['Action', 'Thriller', 'Science Fiction']
144;8.2;['Comedy', 'Drama', 'Romance']
145;7.4;['Drama', 'Comedy', 'Romance']
146;7.6;['Science Fiction', 'Action', 'Adventure']
147;7.8;['Drama', 'History', 'Romance']
148;7.9;['Comedy', 'Crime']
149;7.7;['Crime', 'Drama', 'Mystery', 'Thriller']
150;7.3;['Action', 'Drama', 'Mystery', 'Thriller']
151;7.9;['Drama', 'History', 'War']
152;8.4;['Drama', 'Action', 'Crime', 'Thriller']
153;8.0;['Drama', 'War']
154;8.1;['Drama', 'Thriller', 'Crime']
155;8.0;['Drama', 'History']
156;7.6;['Drama', 'Horror', 'Thriller']
157;8.1;['Action', 'Adventure', 'Comedy']
158;8.6;['Drama', 'Crime']
159;7.9;['Adventure', 'Comedy', 'Drama']
160;7.7;['Comedy', 'Drama']
161;7.9;['Drama']
162;8.3;['Comedy']
163;7.9;['Adventure', 'Drama', 'History', 'Thriller', 'War']
164;8.4;['Fantasy', 'Drama', 'Crime']
165;7.2;['Adventure', 'Fantasy', 'Action']
166;7.8;['Drama']
167;8.2;['Comedy', 'Drama']
168;7.7;['Drama', 'Action', 'Thriller', 'Crime']
169;7.7;['Drama', 'History']
170;8.2;['Family', 'Animation', 'Drama']
171;8.2;['Adventure', 'Fantasy', 'Action']
172;7.8;['Mystery', 'Crime', 'Thriller']
173;7.7;['Western']
174;7.8;['Thriller', 'Drama']
175;8.1;['Action', 'Science Fiction']
176;8.0;['Thriller', 'Crime', 'Drama']
177;8.3;['Drama', 'War']
178;8.1;['Drama', 'Mystery', 'Thriller']
179;7.7;['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']
180;8.6;['Drama', 'Crime']
181;8.2;['Horror', 'Thriller']
182;8.2;['Crime', 'Drama', 'Thriller']
183;7.8;['Mystery', 'Thriller', 'Drama']
184;8.0;['Comedy', 'Crime', 'Drama']
185;7.5;['Action', 'Thriller', 'Science Fiction']
186;7.9;['Horror', 'Mystery', 'Science Fiction']
187;8.1;['Thriller', 'Mystery']
188;8.1;['Action', 'Adventure', 'Drama', 'Western']
189;8.0;['Comedy', 'Drama']
190;7.7;['Crime', 'Drama', 'History', 'Thriller']
191;8.2;['Drama', 'Crime', 'Thriller']
192;7.7;['Adventure', 'Western']
193;7.5;['Adventure', 'Family', 'Fantasy']
194;8.1;['Drama']
195;8.0;['Crime', 'Drama']
196;8.1;['Fantasy', 'Animation', 'Family']
197;7.7;['Drama', 'Thriller', 'Crime']
198;7.9;['Animation', 'Comedy', 'Family']
199;7.9;['Drama', 'Crime']
200;8.0;['Drama', 'Mystery', 'Romance']